,,,,Online Shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Segmentation,,,,Number of People Purchasing Consumer Goods Via Online Channels,, Total B2C Consumer Goods Spend ,, Avg Annual Revenue Per Consumer Goods Ecommerce Shopper ,,Online Purchases vs Total Consumer Goods Purchase Value Across All Retail Channels,," Estimated Annual Spend In Each Consumer Goods Ecommerce Category (B2C Only, $Billions USD, Full-Year 2025) ",,,,,,,,,,,,,Share of 2024 B2C Ecommerce Transaction Value Attributable to Each Type of Payment Method,,,,,Percentage of Internet Users Aged 16+ Who Say Each Factor Would Encourage Them to Complete an Online Purchase,,,,,,,,,,,,,,,,
Business Region,Market Region,ISO2,Country,Number (In Millions),YoY Increase, Amount ($Billions USD) ,YoY Increase, Amount ($ USD) ,YoY Increase,Percent,YoY Increase, Fashion , Food , Furniture , Electronics , Beverages , Beauty & Personal Care , DIY & Hardware , Toys & Hobby , Tobacco , Household Essentials , OTC Pharmaceuticals , Eyewear , Physical Media ,Mobile & Digital Wallets,Debit & Credit Cards,Account-To-Account Transfers (A2A),Buy Now Pay Later Services,Other Payment Methods,Free Delivery,Next Day Delivery,Coupons & Discounts,Simple Online Checkout,Customer Reviews,Easy Returns Policy,Loyalty Points,Interest Free Payments,Eco-Friendly Credentials,Guest Checkout,Click and Collect,Social Likes & Comments,Influencer Recommendations,Exclusive Content Or Services,Social Buy Buttons,Link to Data,
North America,US,US,United States,297,1.9%," $1,170.0 ",12.9%," $3,948 ",10.8%,53.3%,8.6%, $229.00 , $245.00 , $121.00 , $70.80 , $110.00 , $59.60 , $179.00 , $33.80 , $39.00 , $31.70 , $23.50 , $15.00 , $14.10 ,39%,49%,5%,6%,1%,63.6%,31.9%,48.4%,33.6%,37.7%,39.8%,32.6%,15.6%,15.4%,21.2%,6.9%,17.1%,10.6%,9.4%,6.0%,https://datareportal.com/reports/digital-2026-united-states-of-america,
EMEA,United Kingdom,GB,United Kingdom,51.9,4.6%, $131.0 ,9.6%," $2,529 ",4.7%,44.3%,5.7%, $59.00 , $14.80 , $10.20 , $11.40 , $5.63 , $9.25 , $3.97 , $4.35 , $2.16 , $5.19 , $2.04 , $1.40 , $2.01 ,40%,46%,5%,7%,2%,68.1%,36.1%,41.7%,35.3%,38.1%,39.4%,41.1%,15.2%,16.4%,22.9%,21.3%,12.6%,9.0%,8.1%,4.9%,https://datareportal.com/reports/digital-2026-united-kingdom,
EMEA,Western Europe,DE,Germany,57.3,5.5%, $105.0 ,13.3%," $1,836 ",7.4%,23.4%,9.3%, $30.80 , $12.00 , $16.90 , $12.10 , $5.71 , $10.30 , $5.31 , $3.00 , $2.20 , $2.35 , $1.62 , $1.00 , $2.02 ,35%,16%,26%,20%,3%,61.6%,26.3%,43.5%,28.6%,30.3%,39.4%,23.5%,14.8%,18.7%,22.8%,8.7%,12.5%,6.5%,9.1%,5.1%,https://datareportal.com/reports/digital-2026-germany,
North America,Canada,CA,Canada,30.8,6.6%, $68.0 ,13.9%," $2,204 ",6.6%,29.0%,8.6%, $22.50 , $6.27 , $8.07 , $6.70 , $2.99 , $4.85 , $8.28 , $2.54 , $0.69 , $1.24 , $2.08 , $0.81 , $1.02 ,31%,57%,6%,5%,1%,65.9%,28.0%,47.5%,29.4%,38.0%,43.5%,42.9%,11.7%,16.1%,17.8%,7.7%,14.6%,10.1%,7.9%,4.8%,https://datareportal.com/reports/digital-2026-canada,
EMEA,Western Europe,IT,Italy,26.5,6.9%, $61.8 ,10.7%," $2,336 ",3.6%,22.2%,7.8%, $26.60 , $7.74 , $4.81 , $7.12 , $1.77 , $4.41 , $1.55 , $1.46 , $0.71 , $2.16 , $1.90 , $0.74 , $0.84 ,40%,44%,8%,5%,3%,61.9%,26.2%,43.0%,35.0%,37.0%,32.5%,24.7%,16.1%,16.8%,16.5%,6.5%,12.7%,6.2%,7.9%,4.5%,https://datareportal.com/reports/digital-2026-italy,
EMEA,Western Europe,ES,Spain,33.1,4.4%, $37.9 ,14.8%," $1,142 ",9.7%,21.0%,11.1%, $11.10 , $7.15 , $3.06 , $4.41 , $3.16 , $3.81 , $1.48 , $1.02 ,, $1.05 , $0.58 , $0.53 , $0.74 ,34%,39%,21%,3%,3%,64.0%,35.8%,43.2%,35.0%,35.7%,37.5%,29.6%,16.3%,18.8%,6.4%,12.4%,18.8%,9.0%,11.3%,5.1%,https://datareportal.com/reports/digital-2026-spain,
EMEA,Western Europe,NL,Netherlands,14,6.1%, $36.6 ,13.0%," $2,617 ",6.6%,35.7%,9.2%, $13.10 , $5.11 , $4.95 , $3.39 , $2.64 , $2.20 , $1.41 , $1.04 , $0.78 , $0.60 , $0.58 , $0.47 , $0.32 ,11%,11%,67%,10%,1%,61.1%,38.5%,36.9%,32.0%,30.2%,29.6%,18.7%,13.1%,12.2%,12.2%,10.9%,10.1%,6.3%,5.8%,5.8%,https://datareportal.com/reports/digital-2026-netherlands,
EMEA,Eastern Europe,PL,Poland,14.6,5.8%, $22.9 ,8.2%," $1,568 ",1.9%,18.5%,2.2%, $8.74 , $1.46 , $1.91 , $3.13 , $0.14 , $1.97 , $2.07 , $0.66 , $0.11 , $0.80 , $1.43 , $0.28 , $0.20 ,12%,11%,70%,3%,4%,55.0%,26.7%,46.1%,37.7%,39.4%,28.0%,28.2%,12.8%,12.4%,18.2%,11.9%,16.0%,8.3%,7.1%,16.0%,https://datareportal.com/reports/digital-2026-poland,
